City,ID,Country,latitude,longitude,Date,Temperature,Cloudiness,Humidity,Wind Speed
mataura,6201424,NZ,-46.19,168.86,1588347769,284.82,53,69,1.34
kimbe,2093967,PG,-5.55,150.14,1588347771,297.99,58,88,1.5
port alfred,964432,ZA,-33.59,26.89,1588347772,290.37,60,80,2.06
avarua,4035715,CK,-21.21,-159.78,1588347664,296.15,100,78,4.6
yellowknife,6185377,CA,62.46,-114.35,1588347469,271.78,90,80,5.1
cape town,3369157,ZA,-33.93,18.42,1588347646,295.09,52,49,3.1
ponta do sol,2264557,PT,32.67,-17.1,1588347776,292.22,96,65,2.68
ushuaia,3833367,AR,-54.8,-68.3,1588347778,278.15,75,86,4.1
codrington,2171099,AU,-38.27,141.97,1588347779,283.57,96,71,10.5
san cristobal,3628473,VE,7.77,-72.22,1588347780,303.15,40,66,4.1
busselton,2075265,AU,-33.65,115.33,1588347781,283.8,64,44,3.28
armidale,2177671,AU,-30.52,151.65,1588347782,277.04,4,70,2.68
rexburg,5605242,US,43.83,-111.79,1588347586,282.1,1,75,5.1
te anau,2181625,NZ,-45.42,167.72,1588347785,285.1,100,71,2.11
necochea,3430443,AR,-38.55,-58.74,1588347786,289.82,39,80,2.68
tsabong,932987,BW,-26.02,22.4,1588347787,294.39,34,18,1.39
husavik,2629833,IS,66.04,-17.34,1588347788,277.15,75,60,5.7
constitucion,3893726,CL,-35.33,-72.42,1588347789,291.1,0,55,3.61
mar del plata,3430863,AR,-38.0,-57.56,1588347521,288.44,40,87,5.1
hilo,5855927,US,19.73,-155.09,1588347792,293.01,90,83,2.1
vaini,4032243,TO,-21.2,-175.2,1588347793,297.15,75,83,4.1
karratha,6620339,AU,-20.74,116.85,1588347794,294.22,0,22,4.81
alofi,4036284,NU,-19.06,-169.92,1588347795,297.15,100,88,5.1
punta arenas,3874787,CL,-53.15,-70.92,1588347797,281.03,75,87,4.1
rikitea,4030556,PF,-23.12,-134.97,1588347798,299.3,87,82,7.97
uzhur,1487882,RU,55.3,89.83,1588347799,281.45,70,64,5.01
ilo,3938415,PE,-17.64,-71.34,1588347800,294.15,73,77,4.1
tasiilaq,3424607,GL,65.61,-37.64,1588347801,274.15,0,55,1.5
sioux lookout,6148373,CA,50.1,-91.92,1588347803,289.15,75,42,2.1
padang,1633419,ID,-0.95,100.35,1588347566,298.12,100,84,2.62
qaanaaq,3831208,GL,77.48,-69.36,1588347805,265.78,87,91,1.3
butaritari,2110227,KI,3.07,172.79,1588347806,301.28,99,81,9.63
kaeo,2189343,NZ,-35.1,173.78,1588347807,290.07,87,87,2.68
port elizabeth,964420,ZA,-33.92,25.57,1588347715,293.15,94,72,2.6
grindavik,3416888,IS,63.84,-22.43,1588347810,279.15,40,60,4.1
ravar,118704,IR,31.27,56.81,1588347811,295.4,36,37,2.95
souillac,933995,MU,-20.52,57.52,1588347812,298.15,40,65,5.7
bonthe,2409914,SL,7.53,-12.51,1588347813,302.81,80,70,4.22
sibu,1735902,MY,2.3,111.82,1588347815,299.95,75,94,1.5
arona,2521582,ES,28.1,-16.68,1588347816,295.11,20,57,9.3
albany,5106841,US,42.6,-73.97,1588347666,287.6,100,87,1.66
praia da vitoria,3372760,PT,38.73,-27.07,1588347818,290.15,75,82,9.34
jumla,1283285,NP,29.27,82.18,1588347819,283.42,95,36,0.46
novo aripuana,3663142,BR,-5.12,-60.38,1588347821,302.98,60,71,2.12
paracatu,3455168,BR,-17.22,-46.87,1588347822,298.96,3,48,1.15
darnah,87205,LY,32.77,22.64,1588347823,292.22,0,64,9.23
dwarahat,1272145,IN,29.78,79.43,1588347824,290.32,20,52,1.7
kinwat,1266518,IN,19.63,78.2,1588347825,307.25,61,18,1.32
castro,3466704,BR,-24.79,-50.01,1588347827,295.94,2,49,2.13
hithadhoo,1282256,MV,-0.6,73.08,1588347828,303.0,0,74,3.54
hobart,2163355,AU,-42.88,147.33,1588347531,280.78,75,61,9.3
